respondent_id,age,gender,state,education,employment_status,income,household_size,survey_weight,satisfaction_score,survey_date
RSP-2025-00001,16,Female,Gujarat,Primary,Retired,39819.45,5,34.9954,8.0,2024-05-18
RSP-2025-00002,82,Female,Maharashtra,Secondary,Student,0.0,5,11.1645,10.0,2024-06-13
RSP-2025-00003,75,Female,West Bengal,Higher Secondary,Self-Employed,40746.66,6,44.9597,5.0,2024-05-04
RSP-2025-00004,35,Male,West Bengal,Postgraduate,Self-Employed,53518.19,3,96.2511,4.0,2024-01-11
RSP-2025-00005,38,Female,Karnataka,Postgraduate,Self-Employed,34164.86,3,101.4316,5.0,2024-01-27
RSP-2025-00006,17,Female,Uttar Pradesh,Graduate,Employed,29621.57,3,33.6825,10.0,2024-04-03
RSP-2025-00007,36,Female,Uttar Pradesh,,Retired,15173.5,4,120.3105,6.0,2024-03-23
RSP-2025-00008,67,Female,Uttar Pradesh,Primary,Student,0.0,5,68.0251,7.0,2024-02-03
RSP-2025-00009,16,Female,Karnataka,Postgraduate,Student,0.0,4,115.4941,9.0,2024-02-07
RSP-2025-00010,44,Male,West Bengal,Graduate,Student,0.0,5,91.4246,1.0,2024-03-27
RSP-2025-00011,52,Female,Maharashtra,None,Retired,23045.56,5,93.2186,4.0,2024-03-05
RSP-2025-00012,16,Male,Karnataka,Higher Secondary,Unemployed,0.0,7,20.2375,9.0,2024-05-10
RSP-2025-00013,78,Male,Karnataka,Higher Secondary,Employed,14943.04,2,35.689,5.0,2024-06-04
RSP-2025-00014,74,Female,Maharashtra,Postgraduate,Self-Employed,57658.44,2,11.5093,8.0,2024-05-21
RSP-2025-00015,35,Male,Uttar Pradesh,Secondary,Self-Employed,41461.52,2,92.4966,1.0,2024-02-21
RSP-2025-00016,47,Female,Gujarat,Higher Secondary,Self-Employed,95015.12,2,49.9382,4.0,2024-01-30
RSP-2025-00017,72,Male,Maharashtra,None,Unemployed,0.0,6,100.5717,9.0,2024-04-22
RSP-2025-00018,36,Female,West Bengal,Postgraduate,Employed,21042.4,3,49.3082,1.0,2024-05-22
RSP-2025-00019,63,Male,Tamil Nadu,Graduate,Employed,31270.79,7,104.3137,1.0,2024-06-14
RSP-2025-00020,73,Female,Tamil Nadu,None,Retired,,5,25.465,4.0,2024-05-21
RSP-2025-00021,56,Female,Bihar,Postgraduate,Unemployed,0.0,6,30.3512,3.0,2024-01-08
RSP-2025-00022,74,Male,Bihar,None,Unemployed,,7,49.5304,7.0,2024-03-12
RSP-2025-00023,29,Female,Karnataka,Higher Secondary,Employed,47710.89,6,57.2718,3.0,2024-05-26
RSP-2025-00024,76,Other,Tamil Nadu,Graduate,Employed,42990.65,4,50.4265,1.0,2024-02-01
RSP-2025-00025,76,Male,Gujarat,Postgraduate,Student,1483.021,4,97.9376,10.0,2024-04-04
RSP-2025-00026,61,Male,Uttar Pradesh,Primary,Self-Employed,64928.23,5,21.6009,,2024-06-05
RSP-2025-00027,76,Male,West Bengal,Graduate,Self-Employed,57562.65,8,50.7143,10.0,2024-02-10
RSP-2025-00028,65,Female,Bihar,Primary,Unemployed,0.0,2,106.364,4.0,2024-03-15
RSP-2025-00029,69,Female,Gujarat,None,Self-Employed,28331.76,3,18.1483,1.0,2024-02-14
RSP-2025-00030,78,Female,West Bengal,Secondary,Employed,,6,118.3983,1.0,2024-01-13
RSP-2025-00031,17,Male,West Bengal,Graduate,Self-Employed,15365.7,1,123.4333,8.0,2024-06-03
RSP-2025-00032,65,Male,Uttar Pradesh,None,Employed,27433.51,5,20.6411,7.0,2024-01-19
RSP-2025-00033,21,Female,Karnataka,Primary,Employed,6640.55,5,43.8507,8.0,2024-06-02
RSP-2025-00034,35,Male,Tamil Nadu,Higher Secondary,Self-Employed,47557.57,8,53.1399,4.0,2024-02-22
RSP-2025-00035,53,Male,Uttar Pradesh,Higher Secondary,Retired,9750.07,4,99.3968,6.0,2024-06-27
RSP-2025-00036,32,Female,Gujarat,Secondary,Employed,2480619.4448998477,1,78.7336,3.0,2024-06-13
RSP-2025-00037,18,Female,Karnataka,Graduate,Student,,4,84.2799,8.0,2024-05-16
RSP-2025-00038,74,Female,Gujarat,Graduate,Employed,23445.09,7,97.2349,4.0,2024-06-28
RSP-2025-00039,28,Female,Karnataka,Graduate,Employed,17889.57,1,24.0086,3.0,2024-01-03
RSP-2025-00040,23,Female,Bihar,None,Employed,22309.65,1,105.9025,4.0,2024-04-05
RSP-2025-00041,67,Female,Gujarat,Secondary,Employed,67646.13,2,91.2935,6.0,2024-05-15
RSP-2025-00042,16,Male,Uttar Pradesh,Graduate,Unemployed,0.0,6,76.6056,7.0,2024-01-14
RSP-2025-00043,74,Male,Karnataka,None,Employed,61699.28,4,112.3747,7.0,2024-04-29
RSP-2025-00044,58,Male,Karnataka,Higher Secondary,Unemployed,0.0,5,90.6851,4.0,2024-05-10
RSP-2025-00045,22,Male,West Bengal,Primary,Retired,12276.42,8,33.5946,8.0,2024-05-31
RSP-2025-00046,61,Female,West Bengal,None,Employed,13373.72,5,59.7058,7.0,2024-01-13
RSP-2025-00047,49,Male,Maharashtra,Higher Secondary,Self-Employed,79989.88,6,67.0679,2.0,2024-06-19
RSP-2025-00048,50,Male,Gujarat,Higher Secondary,Employed,14551.08,3,16.8224,8.0,2024-06-05
RSP-2025-00049,64,Male,West Bengal,Primary,Self-Employed,12712.26,3,119.806,9.0,2024-03-12
RSP-2025-00050,18,Male,Maharashtra,Higher Secondary,Employed,56345.32,4,25.2221,5.0,2024-06-27
RSP-2025-00051,16,Female,Bihar,Secondary,Employed,33525.42,4,90.3593,4.0,2024-06-18
RSP-2025-00052,20,Male,Bihar,Primary,Employed,14622.96,5,68.4635,4.0,2024-06-07
RSP-2025-00053,68,Female,West Bengal,Higher Secondary,Employed,30970.99,4,13.4349,,2024-06-02
RSP-2025-00054,18,Male,Gujarat,Postgraduate,Employed,13811.55,5,116.3836,,2024-05-25
RSP-2025-00055,68,Female,Karnataka,None,Self-Employed,55024.5,3,108.0353,4.0,2024-03-22
RSP-2025-00056,77,Female,Tamil Nadu,Higher Secondary,Student,0.0,3,70.5275,7.0,2024-02-26
RSP-2025-00057,32,Male,Gujarat,Secondary,Student,0.0,1,36.7139,7.0,2024-01-07
RSP-2025-00058,58,Female,Uttar Pradesh,Graduate,Self-Employed,34032.79,3,24.4258,5.0,2024-04-21
RSP-2025-00059,48,Male,Bihar,Higher Secondary,Employed,84522.44,3,52.1084,5.0,2024-02-17
RSP-2025-00060,76,Male,West Bengal,Graduate,Employed,26897.7,6,39.7465,10.0,2024-03-20
RSP-2025-00061,28,Female,West Bengal,Postgraduate,Employed,12478.74,8,68.5161,8.0,2024-04-28
RSP-2025-00062,62,Male,Karnataka,Higher Secondary,Employed,36031.83,4,121.1539,7.0,2024-04-29
